activation,lemma,present_phones,past_phones
2.642458915710449,outperform,AW T P ER F AO R M,AW T P ER F AO R M D
2.5697691440582275,monogram,M AA N AH G R AE M,M AA N AH G R AE M D
2.220100164413452,uniform,Y UW N AH F AO R M,Y UW N AH F AO R M D
1.4149867296218872,compartmentalize,K AH M P AA R T M EH N T AH L AY Z,K AA M P AA R T M EH N T AH L AY Z D
1.185031771659851,decontaminate,D IY K AH N T AE M AH N EY T,D IY K AH N T AE M AH N EY T IH D
0.9458909034729004,approximate,AH P R AA K S AH M AH T,AH P R AA K S AH M EY T IH D
0.6957500576972961,predetermine,P R IY D IH T ER M AH N,P R IY D IY T ER M IH N D
0.3378943204879761,experiment,IH K S P EH R AH M AH N T,IH K S P EH R AH M AH N T AH D
0.26167982816696167,reinsure,R IY IH N SH UH R,R IY IH N SH UH R D
0.17843635380268097,monitor,M AA N AH T ER,M AA N AH T ER D
0.022317633032798767,memorize,M EH M ER AY Z,M EH M ER AY Z D
