activation,lemma,present_phones,past_phones
3.8235464096069336,splinter,S P L IH N T ER,S P L IH N T ER D
2.62150502204895,sprint,S P R IH N T,S P R IH N T IH D
2.4925589561462402,broadcast,B R AO D K AE S T,B R AO D K AE S T
2.4055724143981934,caramelize,K EH R AH M AH L AY Z,K EH R AH M AH L AY Z D
1.3487279415130615,reorganize,R IY AO R G AH N AY Z,R IY AO R G AH N AY Z D
1.2556915283203125,register,R EH JH IH S T ER,R EH JH IH S T ER D
1.142268180847168,reinvigorate,R IY IH N V IH G ER EY T,R IY IH N V IH G ER EY T IH D
0.8761486411094666,reinstate,R IY IH N S T EY T,R IY IH N S T EY T IH D
0.8265666365623474,antagonize,AE N T AE G AH N AY Z,AE N T AE G AH N AY Z D
0.825244128704071,caricature,K EH R AH K AH CH ER,K ER IH K AH CH ER D
0.8139079213142395,upholster,AH P OW L S T ER,AH P OW L S T ER D
0.8097605109214783,delineate,D IH L IH N IY EY T,D IH L IH N IY EY T IH D
0.7885822653770447,straggle,S T R AE G AH L,S T R AE G AH L D
0.7484248280525208,regiment,R EH JH AH M AH N T,R EH JH AH M EH N T IH D
0.6668334603309631,collar,K AA L ER,K AA L ER D
0.6507417559623718,reinstitute,R IY IH N S T IH T UW T,R IY IH N S T IH T UW T IH D
0.6328724026679993,wallow,W AA L OW,W AA L OW D
0.6230351328849792,stimulate,S T IH M Y AH L EY T,S T IH M Y AH L EY T IH D
0.5938298106193542,splash,S P L AE SH,S P L AE SH T
0.5453097224235535,delve,D EH L V,D EH L V D
0.5422691702842712,centralize,S EH N T R AH L AY Z,S EH N T R AH L AY Z D
0.5236231088638306,shelve,SH EH L V,SH EH L V D
0.49180614948272705,holler,HH AA L ER,HH AA L ER D
0.4027239680290222,solve,S AA L V,S AA L V D
0.3694540858268738,throng,TH R AO NG,TH R AO NG D
0.36078888177871704,spring,S P R IH NG,S P R AE NG
0.2896720767021179,outlaw,AW T L AO,AW T L AO D
0.2819707989692688,shell,SH EH L,SH EH L D
