activation,lemma,present_phones,past_phones
4.481320381164551,nickname,N IH K N EY M,N IH K N EY M D
4.057741165161133,meander,M IY AE N D ER,M IY AE N D ER D
3.3327386379241943,bifurcate,B IH F ER K EY T,B IH F ER K EY T IH D
3.1126341819763184,spank,S P AE NG K,S P AE NG K T
2.6515390872955322,negate,N IH G EY T,N IY G EY T IH D
2.393415689468384,encourage,EH N K ER IH JH,EH N K ER IH JH D
2.3664371967315674,newfangle,N UW F AE NG G AH L,N UW F AE NG G AH L D
2.2369091510772705,franchise,F R AE N CH AY Z,F R AE N CH AY Z D
2.210352897644043,idealize,AY D IY L AY Z,AY D IY AH L AY Z D
2.165175437927246,hemorrhage,HH EH M ER IH JH,HH EH M ER IH JH D
2.064861536026001,morph,M AO R F,M AO R F T
1.8748743534088135,mortgage,M AO R G AH JH,M AO R G IH JH D
1.770233392715454,affront,AH F R AH N T,AH F R AH N T IH D
1.4461438655853271,exploit,EH K S P L OY T,EH K S P L OY T AH D
1.3860256671905518,dissipate,D IH S AH P EY T,D IH S AH P EY T IH D
1.3697047233581543,gnarl,N AA R L,N AA R L D
1.3659999370574951,prefabricate,P R IY F AE B R IH K EY T,P R IY F AE B R IH K EY T IH D
1.3628499507904053,perch,P ER CH,P ER CH T
1.33245849609375,notch,N AA CH,N AA CH T
1.325226068496704,pigeonhole,P IH JH AH N HH OW L,P IH JH AH N HH OW L D
1.282252311706543,refrigerate,R IH F R IH JH ER EY T,R IH F R IH JH ER EY T IH D
1.2694287300109863,recharge,R IY CH AA R JH,R IY CH AA R JH D
1.2686235904693604,purse,P ER S,P ER S T
1.2547156810760498,desensitize,D IH S EH N S AH T AY Z,D IH S EH N S AH T AY Z D
1.226405143737793,mothball,M AO TH B AO L,M AO TH B AO L D
1.0864367485046387,garb,G AA R B,G AA R B D
1.0808043479919434,reemerge,R IY IH M ER JH,R IY IH M ER JH D
1.0721435546875,decertify,D IY S ER T AH F AY,D IY S ER T AH F AY D
1.0662000179290771,uplink,AH P L IH NG K,UW P L IH NG K D
1.0418837070465088,breeze,B R IY Z,B R IY Z D
0.9655092358589172,fixate,F IH K S EY T,F IH K S EY T IH D
0.9631351828575134,swink,S W IH NG K,S W AE NG K
0.9269559979438782,bereave,B ER IY V,B ER IY V D
0.924509584903717,nurture,N ER CH ER,N ER CH ER D
0.9031105637550354,mourn,M AO R N,M AO R N D
0.8996003270149231,purge,P ER JH,P ER JH D
0.848872721195221,terminate,T ER M AH N EY T,T ER M AH N EY T IH D
0.6992794871330261,begin,B IH G IH N,B IH G AE N
0.6588898301124573,defy,D IH F AY,D IH F AY D
0.6121850609779358,derange,D IH R EY N JH,D IH R EY N JH D
