activation,lemma,present_phones,past_phones
5.053567409515381,ax,AE K S,AE K S T
5.053567409515381,axe,AE K S,AE K S T
4.804429531097412,flicker,F L IH K ER,F L IH K ER D
4.719323635101318,fritter,F R IH T ER,F R IH T ER D
4.376267910003662,overflow,OW V ER F L OW,OW V ER F L OW D
4.346107006072998,snicker,S N IH K ER,S N IH K ER D
4.197427272796631,spatter,S P AE T ER,S P AE T ER D
4.146127223968506,stagger,S T AE G ER,S T AE G ER D
3.908224582672119,spotlight,S P AA T L AY T,S P AA T L AY T IH D
3.770993232727051,overdo,OW V ER D UW,OW V ER D IH D
3.6304473876953125,crater,K R EY T ER,K R EY T ER D
3.3661952018737793,proffer,P R AA F ER,P R AA F ER D
3.3505096435546875,prefer,P R AH F ER,P R AH F ER D
3.2030277252197266,deify,D IY AH F AY,D IY AH F AY D
3.048605442047119,swink,S W IH NG K,S W AE NG K
3.0083885192871094,overdose,OW V ER D OW S,OW V ER D OW S T
2.8697659969329834,flatter,F L AE T ER,F L AE T ER D
2.739112377166748,steady,S T EH D IY,S T EH D IY D
2.668544292449951,occur,AH K ER,AH K ER D
2.6231529712677,fester,F EH S T ER,F EH S T ER D
2.6221728324890137,stink,S T IH NG K,S T AE NG K
2.5620906352996826,blacklist,B L AE K L IH S T,B L AE K L IH S T IH D
2.454033136367798,pester,P EH S T ER,P EH S T ER D
2.4483275413513184,bronze,B R AA N Z,B R AA N Z D
2.3814589977264404,reoffer,R IY AO F ER,R IY AO F ER D
2.3673129081726074,graft,G R AE F T,G R AE F T IH D
2.363548755645752,stalemate,S T EY L M EY T,S T EY L M EY T IH D
2.3215889930725098,trigger,T R IH G ER,T R IH G ER D
2.320746660232544,stigmatize,S T IH G M AH T AY Z,S T IH G M AH T AY Z D
2.287017822265625,withhold,W IH TH HH OW L D,W IH TH HH EH L D
2.2337145805358887,traverse,T R AE V ER S,T R AE V ER S T
2.205108165740967,leapfrog,L IY P F R AO G,L IY P F R AO G D
2.0960781574249268,overturn,OW V ER T ER N,OW V ER T ER N D
2.0205626487731934,quaver,K W EY V ER,K W EY V ER D
2.0199971199035645,bloody,B L AH D IY,B L AH D IY D
2.0092873573303223,theme,TH IY M,TH IY M D
1.9982738494873047,eviscerate,AH V IH S ER EY T,AH V IH S ER EY T IH D
1.9869706630706787,oversize,OW V ER S AY Z,OW V ER S AY Z D
1.984175682067871,smother,S M AH DH ER,S M AH DH ER D
1.9750239849090576,operate,AA P ER EY T,AA P ER EY T AH D
1.9633195400238037,peruse,P ER UW Z,P ER UW Z D
1.9626052379608154,downcast,D AW N K AE S T,D AW N K AE S T
1.9594051837921143,swirl,S W ER L,S W ER L D
1.9494516849517822,speculate,S P EH K Y AH L EY T,S P EH K Y AH L EY T IH D
1.938549518585205,reemerge,R IY IH M ER JH,R IY IH M ER JH D
1.9288935661315918,broker,B R OW K ER,B R OW K ER D
1.926612138748169,gesture,JH EH S CH ER,JH EH S CH ER D
1.9223248958587646,torpedo,T AO R P IY D OW,T AO R P IY D OW D
1.9075262546539307,safeguard,S EY F G AA R D,S EY F G AA R D IH D
1.8824059963226318,deactivate,D IY AE K T IH V EY T,D IY AE K T IH V EY T IH D
1.878338098526001,profess,P R AH F EH S,P R AH F EH S T
1.8446636199951172,acquire,AH K W AY ER,AH K W AY ER D
1.840831995010376,seal,S IY L,S IY L D
1.7951269149780273,reiterate,R IY IH T ER EY T,R IY IH T ER EY T IH D
1.7775721549987793,overfeed,OW V ER F IY D,OW V ER F EH D
1.7731781005859375,blast,B L AE S T,B L AE S T AH D
1.7597947120666504,ossify,AA S AH F AY,AA S AH F AY D
1.753964900970459,censor,S EH N S ER,S EH N S ER D
1.7270872592926025,accomplish,AH K AA M P L IH SH,AH K AA M P L IH SH T
1.689997911453247,dome,D OW M,D OW M D
1.6893174648284912,accede,AE K S IY D,AE K S IY D IH D
1.668318748474121,surmise,S ER M AY Z,S ER M AY Z D
1.6663339138031006,overpay,OW V ER P EY,OW V ER P EY D
1.6660208702087402,skewer,S K Y UW ER,S K Y UW ER D
1.6374635696411133,flip,F L IH P,F L IH P T
1.6014513969421387,sparkle,S P AA R K AH L,S P AA R K AH L D
1.6013736724853516,concentrate,K AA N S AH N T R EY T,K AA N S AH N T R EY T IH D
1.5850563049316406,stilt,S T IH L T,S T IH L T IH D
1.5738499164581299,spangle,S P AE NG G AH L,S P AE NG G AH L D
1.5436501502990723,seize,S IY Z,S IY Z D
1.4964368343353271,stylize,S T AY L AY Z,S T AY L AY Z D
1.4784529209136963,blink,B L IH NG K,B L IH NG K T
1.477623462677002,ave,AA V EY,AE D
1.4737441539764404,scoop,S K UW P,S K UW P T
1.4686903953552246,gentrify,JH EH N T R IH F AY,JH EH N T R IH F AY D
1.456671953201294,swelter,S W EH L T ER,S W EH L T ER D
1.4503958225250244,slog,S L AA G,S L AA G D
1.3774418830871582,shelter,SH EH L T ER,SH EH L T ER D
1.3758974075317383,tender,T EH N D ER,T EH N D ER D
1.3427009582519531,twist,T W IH S T,T W IH S T IH D
1.3388574123382568,annualize,AE N Y UW W AH L AY Z,AE N Y UW W AH L AY Z D
1.333092212677002,constitute,K AA N S T AH T UW T,K AA N S T AH T UW T AH D
1.3328423500061035,deem,D IY M,D IY M D
1.3244497776031494,blitz,B L IH T S,B L IH T S T
1.299595594406128,stucco,S T AH K OW,S T AH K OW D
1.2983324527740479,boycott,B OY K AA T,B OY K AA T IH D
1.2886362075805664,founder,F AW N D ER,F AW N D ER D
1.2822833061218262,overdraw,OW V ER D R AO,OW V ER D R UW
1.282181978225708,deprave,D IY P R EY V,D IY P R EY V D
1.2752799987792969,twirl,T W ER L,T W ER L D
1.2728846073150635,broadcast,B R AO D K AE S T,B R AO D K AE S T
1.260267972946167,blister,B L IH S T ER,B L IH S T ER D
1.2452905178070068,await,AH W EY T,AH W EY T IH D
1.231924057006836,glisten,G L IH S AH N,G L IH S AH N D
1.2119476795196533,slather,S L AE DH ER,S L AE DH ER D
1.1993329524993896,ironize,AY ER N AY Z,AY ER N AY Z D
1.1769256591796875,regenerate,R IY JH EH N ER EY T,R IY JH EH N ER EY T IH D
1.1731786727905273,snag,S N AE G,S N AE G D
1.166534185409546,oversubscribe,OW V ER S AH B S K R AY B,OW V ER S AH B S K R AY B D
1.152146577835083,study,S T AH D IY,S T AH D IY D
1.14677095413208,overlook,OW V ER L UH K,OW V ER L UH K T
1.142740249633789,school,S K UW L,S K UW L D
1.1414804458618164,it,IH T,IH T
1.1221020221710205,blowdry,B L OW D R AY,B L OW D R AY D
1.112811803817749,privilege,P R IH V L AH JH,P R IH V L AH JH D
1.1099958419799805,fondle,F AO N D AH L,F AO N D AH L D
1.0967082977294922,yield,Y IY L D,Y IY L D IH D
1.062398910522461,rewire,R IY W AY ER,R IY W AY ER D
1.0617401599884033,slip,S L IH P,S L IH P T
1.0520994663238525,censure,S EH N SH ER,S EH N SH ER D
1.0351686477661133,slit,S L IH T,S L IH T
1.0029325485229492,ooze,UW Z,UW Z D
0.9944328665733337,stir,S T ER,S T ER D
0.9423120617866516,overtax,OW V ER T AE K S,OW V ER T AE K S T
0.9221484065055847,audit,AO D IH T,AO D IH T IH D
0.9204290509223938,dwell,D W EH L,D W EH L T
0.9181312918663025,launder,L AO N D ER,L AO N D ER D
0.9036574959754944,frizzle,F R IH Z AH L,F R IH Z AH L D
0.8982967734336853,flop,F L AA P,F L AA P T
0.87789386510849,pave,P EY V,P EY V D
0.8666025996208191,brainwash,B R EY N W AA SH,B R EY N W AA SH T
0.8635918498039246,slug,S L AH G,S L AH G D
0.8200770020484924,still,S T IH L,S T IH L D
0.8062700629234314,blanket,B L AE NG K AH T,B L AE NG K AH T IH D
0.7732849717140198,save,S EY V,S EY V D
0.6975155472755432,size,S AY Z,S AY Z D
0.6894540190696716,skirt,S K ER T,S K ER T IH D
0.5938001275062561,foretell,F AO R T EH L,F AO R T OW L D
0.5798483490943909,swim,S W IH M,S W AE M
