activation,lemma,present_phones,past_phones
1.2055823802947998,procreate,P R OW K R IY EY T,P R OW K R IY EY T IH D
1.2047008275985718,procure,P R OW K Y UH R,P R OW K Y UH R D
1.2001843452453613,stonewall,S T OW N W AO L,S T OW N W AO L D
1.1951638460159302,proliferate,P R OW L IH F ER EY T,P R AH L IH F ER EY T IH D
1.1844006776809692,snowball,S N OW B AO L,S N OW B AO L D
1.158547043800354,ennoble,IH N OW B AH L,IH N OW B AH L D
1.1513452529907227,oppose,AH P OW Z,AH P OW Z D
1.1489263772964478,crochet,K R OW SH EY,K R OW SH EY D
1.1468632221221924,erode,IH R OW D,IH R OW D AH D
1.1465615034103394,probe,P R OW B,P R OW B D
1.1430188417434692,corrode,K ER OW D,K ER OW D IH D
1.1384412050247192,gross,G R OW S,G R OW S T
1.1383997201919556,promulgate,P R OW M AH L G EY T,P R AA M AH L G EY T IH D
1.1376193761825562,broach,B R OW CH,B R OW CH T
1.1376076936721802,smoke,S M OW K,S M OW K T
1.1361784934997559,stoke,S T OW K,S T OW K T
1.127633810043335,grow,G R OW,G R UW
1.127633810043335,growe,G R OW,G R UW
1.126515507698059,upholster,AH P OW L S T ER,AH P OW L S T ER D
1.124876618385315,groan,G R OW N,G R OW N D
1.1247373819351196,program,P R OW G R AE M,P R OW G R AE M D
1.1247373819351196,programme,P R OW G R AE M,P R OW G R AE M D
1.1222647428512573,grope,G R OW P,G R OW P T
1.121780276298523,evoke,IH V OW K,IH V OW K T
1.1216349601745605,cloak,K L OW K,K L OW K T
1.117919921875,stow,S T OW,S T OW D
1.1174293756484985,gloat,G L OW T,G L OW T IH D
1.1168164014816284,crow,K R OW,K R OW D
1.1160968542099,close,K L OW S,K L OW Z D
1.115782618522644,glow,G L OW,G L OW D
1.1154731512069702,profile,P R OW F AY L,P R OW F AY L D
1.1151717901229858,stone,S T OW N,S T OW N D
1.110339879989624,slow,S L OW,S L OW D
1.1094566583633423,quote,K W OW T,K W OW T IH D
1.1083205938339233,bloat,B L OW T,B L OW T IH D
1.1071311235427856,blow,B L OW,B L UW
1.1011370420455933,furrow,F ER OW,F ER OW D
1.1001979112625122,float,F L OW T,F L OW T AH D
1.0998923778533936,flow,F L OW,F L OW D
1.0998923778533936,flowe,F L OW,F L OW D
1.0997518301010132,proscribe,P R OW S K R AY B,P R OW S K R AY B D
1.0990163087844849,clone,K L OW N,K L OW N D
1.098065733909607,drone,D R OW N,D R OW N D
1.0974243879318237,broker,B R OW K ER,B R OW K ER D
1.0913561582565308,prorate,P R OW R EY T,P R OW R EY T IH D
1.0906480550765991,elope,IH L OW P,IH L OW P D
1.08717679977417,parole,P ER OW L,P ER OW L D
1.085281252861023,throat,TH R OW T,TH R OW T IH D
1.080227017402649,throw,TH R OW,TH R UW
1.0765873193740845,associate,AH S OW S IY AH T,AH S OW S IY EY T IH D
1.0759257078170776,scold,S K OW L D,S K OW L D IH D
1.0711866617202759,blowdry,B L OW D R AY,B L OW D R AY D
1.0666178464889526,echo,EH K OW,EH K OW D
1.0550062656402588,globalize,G L OW B AH L AY Z,G L OW B AH L AY Z D
1.0488888025283813,immobilize,IH M OW B AH L AY Z,IH M OW B AH L AY Z D
0.9543066024780273,clothe,K L OW DH,K L AE D
0.18704181909561157,exhale,EH K S HH EY L,EH K S HH EY L D
0.17682400345802307,replace,R IY P L EY S,R IY P L EY S T
0.16542837023735046,assist,AH S IH S T,AH S IH S T IH D
0.15750673413276672,unnerve,AH N ER V,AH N N ER V D
0.15700197219848633,stucco,S T AH K OW,S T AH K OW D
0.15666186809539795,crook,K R UH K,K R UH K AH D
0.13842102885246277,allude,AH L UW D,AH L UW D IH D
0.13720840215682983,up,AH P,AH P T
0.11648701876401901,bruise,B R UW Z,B R UW Z D
0.11315954476594925,graft,G R AE F T,G R AE F T IH D
0.10744999349117279,ask,AE S K,AE S K T
0.10594093054533005,gild,G IH L D,G IH L D IH D
0.10526351630687714,bribe,B R AY B,B R AY B D
0.10477126389741898,field,F IY L D,F IY L D IH D
0.0955684557557106,box,B AA K S,B AA K S T
0.0950903370976448,bank,B AE NG K,B AE NG K T
0.06544400751590729,bike,B AY K,B AY K T
