activation,lemma,present_phones,past_phones
1.0408799648284912,revisit,R IY V IH Z IH T,R IY V IH Z AH T IH D
0.9413268566131592,envisage,EH N V IH Z IH JH,EH N V IH Z IH JH D
0.8354743719100952,rekindle,R IY K IH N D AH L,R IY K IH N D AH L D
0.8288098573684692,demilitarize,D IY M IH L AH T ER AY Z,D IY M IH L AH T ER AY Z D
0.8097823858261108,deposit,D AH P AA Z IH T,D AH P AA Z IH T IH D
0.7058819532394409,variegate,V EH R IH G EY T,V EH R IH G EY T IH D
0.7022517919540405,levitate,L EH V IH T EY T,L EH V IH T EY T IH D
0.6867250800132751,materialize,M AH T IH R IY AH L AY Z,M AH T IH R IY AH L AY Z D
0.680492639541626,deregulate,D IY R EH G Y AH L EY T,D IY R EH G Y AH L EY T IH D
0.6713228225708008,debilitate,D AH B IH L AH T EY T,D AH B IH L AH T EY T IH D
0.6580585241317749,reestablish,R IY IH S T AE B L IH SH,R IY IH S T AE B L IH SH T
0.6425774097442627,renegotiate,R IY N IH G OW SH IY EY T,R IY N IH G OW SH IY EY T IH D
0.6377757787704468,redistribute,R IY D IH S T R IH B Y UW T,R IY D IH S T R IH B Y UW T IH D
0.6255415678024292,articulate,AA R T IH K Y AH L EY T,AA R T IH K Y AH L EY T IH D
0.6211646199226379,departmentalize,D IH P AA R T M EH N T AH L AY Z,D IH P AA R T M EH N T AH L AY Z D
0.6110289096832275,deteriorate,D IH T IH R IY ER EY T,D IH T IH R IY ER EY T IH D
0.6009639501571655,redesign,R IY D IH Z AY N,R IY D IH Z AY N D
0.5992612838745117,readmit,R IY AH D M IH T,R IY AH D M IH T IH D
0.5950233936309814,intimidate,IH N T IH M IH D EY T,IH N T IH M IH D EY T IH D
0.5771946310997009,disintegrate,D IH S IH N T AH G R EY T,D IH S IH N T AH G R EY T IH D
0.5766286849975586,litigate,L IH T IH G EY T,L IH T IH G EY T IH D
0.5760350227355957,disembody,D IH S IH B AA D IY,D IH S IH B AA D IY D
0.5647406578063965,exhibit,IH G Z IH B IH T,IH G Z IH B AH T AH D
0.5645443201065063,manipulate,M AH N IH P Y AH L EY T,M AH N IH P Y AH L EY T IH D
0.5528697967529297,reexamine,R IY EH G Z AE M AH N,R IY IH G Z AE M AH N D
0.5445307493209839,relinquish,R IH L IH NG K W IH SH,R IH L IH NG K W IH SH T
0.5305975675582886,commingle,K AH M IH NG G AH L,K AA M IH NG G AH L D
0.527185320854187,deactivate,D IY AE K T IH V EY T,D IY AE K T IH V EY T IH D
0.511354386806488,individualize,IH N D IH V IH JH UW AH L AY Z,IH N D IH V IH JH UW AH L AY Z D
0.49906831979751587,redirect,R IY D ER EH K T,R IY D ER EH K T IH D
0.487743079662323,medicate,M EH D IH K EY T,M EH D IH K EY T IH D
0.4711456894874573,ruminate,R UW M IH N EY T,R UW M IH N EY T IH D
0.4617142677307129,diminish,D IH M IH N IH SH,D IH M IH N IH SH T
0.4570237398147583,depreciate,D IH P R IY SH IY EY T,D IH P R IY SH IY EY T IH D
0.45145463943481445,refinish,R IY F IH N IH SH,R IY F IH N IH SH T
0.44721394777297974,subsidize,S AH B S IH D AY Z,S AH B S IH D AY Z D
0.44424277544021606,disengage,D IH S IH N G EY JH,D IH S IH N G EY JH D
0.43795591592788696,redraft,R IY D R AE F T,R IY D R AE F T IH D
0.4300317168235779,rebuild,R IY B IH L D,R IY B IH L T
0.41858047246932983,sprinkle,S P R IH NG K AH L,S P R IH NG K AH L D
0.41742372512817383,recommit,R IH K AA M IH T,R IY K AH M IH T IH D
0.41288822889328003,reprogram,R IY P R OW G R AE M,R IY P R OW G R AE M D
0.4116765856742859,polymerize,P AA L IH M ER AY Z,P AA L IH M ER AY Z D
0.3986241817474365,navigate,N AE V AH G EY T,N AE V AH G EY T IH D
0.34177321195602417,devise,D IH V AY Z,D IH V AY Z D
0.31399238109588623,remit,R IY M IH T,R IY M IH T IH D
0.3048228621482849,delouse,D IY L AW Z,D IY L AW Z D
0.2778358459472656,advise,AE D V AY Z,AE D V AY Z D
0.2569690942764282,revise,R IH V AY Z,R IH V AY Z D
0.23903623223304749,exit,EH G Z IH T,EH G Z AH T IH D
0.23008938133716583,ravage,R AE V IH JH,R AE V IH JH D
0.21885816752910614,theorize,TH IY ER AY Z,TH IY ER AY Z D
0.1825946420431137,commit,K AH M IH T,K AH M IH T IH D
