activation,lemma,present_phones,past_phones
0.3550301492214203,interpolate,IH T ER P AH L EY T,IH T ER P AH L EY T IH D
0.34018516540527344,it,IH T,IH T
0.3186039328575134,adulterate,AH D AH L T ER EY T,AH D AH L T ER EY T IH D
0.305897057056427,share,SH EH R,SH EH R D
0.2892010807991028,illustrate,IH L AH S T R EY T,IH L AH S T R EY T AH D
0.28770118951797485,intermingle,IH N T ER M IH NG G AH L,IH N T ER M IH NG G AH L D
0.2872861921787262,out,AW T,AW T AH D
0.28518468141555786,shoe,SH UW,SH AA D
0.2836143970489502,intermix,IH N T ER M IH K S,IH N T ER M IH K S T
0.2825074791908264,bare,B EH R,B EH R D
0.266176700592041,bay,B EY,B EY D
0.2634263336658478,shy,SH AY,SH AY D
0.26276156306266785,shear,SH IH R,SH IH R D
0.261884480714798,boo,B UW,B UW D
0.2605733275413513,shirk,SH ER K,SH ER K T
0.258344829082489,earn,ER N,ER N D
0.2463950663805008,woo,W UW,W UW D
0.24614650011062622,egg,EH G,EH G D
0.24614650011062622,egge,EH G,EH G D
0.24444246292114258,wee,W IY,W IY D
0.24392546713352203,eat,IY T,EY T
0.24240529537200928,chew,CH UW,CH UW D
0.23399733006954193,add,AE D,AE D AH D
0.23173163831233978,bow,B AW,B AW D
0.22786776721477509,shape,SH EY P,SH EY P T
0.22368724644184113,book,B UH K,B UH K T
0.223135307431221,ship,SH IH P,SH IH P T
0.22233717143535614,ace,EY S,EY S T
0.21145839989185333,er,ER,EH R D
0.20170174539089203,bing,B IH NG,B IH N JH D
