latent_id,activation,lemma,present_phones,past_phones
0,4.157099723815918,restructure,R IY S T R AH K CH ER,R IY S T R AH K CH ER D
0,3.0593421459198,complicate,K AA M P L AH K EY T,K AA M P L AH K EY T AH D
0,2.51654314994812,annualize,AE N Y UW W AH L AY Z,AE N Y UW W AH L AY Z D
0,2.493367910385132,intermarry,IH N T ER M AE R IY,IH N T ER M AE R IY D
0,2.4753334522247314,inset,IH N S EH T,IH N S EH T
0,2.3929502964019775,incite,IH N S AY T,IH N S AY T IH D
0,2.312692642211914,embezzle,IH M B EH Z AH L,IH M B EH Z AH L D
0,2.1997668743133545,embattle,EH M B AE T AH L,EH M B AE T AH L D
0,2.097635507583618,egg,EH G,EH G D
0,2.097635507583618,egge,EH G,EH G D
0,1.9762046337127686,insert,IH N S ER T,IH N S ER T AH D
0,1.9761736392974854,exasperate,IH G Z AE S P ER EY T,IH G Z AE S P ER EY T IH D
0,1.865835189819336,embarrass,IH M B EH R AH S,IH M B EH R AH S T
0,1.8620166778564453,garrison,G AE R IH S AH N,G AE R AH S AH N D
0,1.8194689750671387,encircle,EH N S ER K AH L,IH N S ER K AH L D
0,1.7318832874298096,unsubscribe,AH N S AH B S K R AY B,AH N S AH B S K R AY B D
0,1.7309727668762207,decontrol,D IY K AH N T R OW L,D IY K AH N T R OW L D
0,1.7188177108764648,domesticate,D AH M EH S T AH K EY T,D AH M EH S T AH K EY T AH D
0,1.7133128643035889,excite,IH K S AY T,IH K S AY T AH D
0,1.681328535079956,exploit,EH K S P L OY T,EH K S P L OY T AH D
0,1.6254775524139404,exit,EH G Z IH T,EH G Z AH T IH D
0,1.595527172088623,oxygenate,AA K S AH JH AH N EY T,AA K S AH JH AH N EY T IH D
0,1.5920393466949463,affect,AH F EH K T,AH F EH K T IH D
0,1.5889167785644531,unset,AH N S EH T,AH N S EH T
0,1.5500259399414062,excise,EH K S AY S,EH K S AY Z D
0,1.5185561180114746,imbibe,IH M B AY B,IH M B AY B D
0,1.489255428314209,constipate,K AA N S T AH P EY T,K AA N S T AH P EY T AH D
0,1.4808192253112793,misidentify,M IH S AY D EH N T AH F AY,M IH S AY D EH N T IH F AY D
0,1.4614272117614746,accompany,AH K AH M P AH N IY,AH K AH M P AH N IY D
0,1.4461781978607178,innoculate,IH N AO K Y AH L EY T,IH N AO K Y AH L EY T AH D
0,1.437814474105835,elbow,EH L B OW,EH L B OW D
0,1.4152607917785645,underman,AH N D ER M AE N,AH N D ER M AE N D
0,1.4087560176849365,onset,AA N S EH T,AA N S EH T
0,1.3847134113311768,substantiate,S AH B S T AE N CH IY EY T,S AH B S T AE N SH IY EY T IH D
0,1.367112398147583,bleach,B L IY CH,B L IY CH T
0,1.349672555923462,decaffeinate,D IY K AE F AH N EY T,D IY K AE F AH N EY T IH D
0,1.3448560237884521,exacerbate,IH G Z AE S ER B EY T,IH G Z AE S ER B EY T AH D
0,1.340461254119873,constitute,K AA N S T AH T UW T,K AA N S T AH T UW T AH D
0,1.3344717025756836,unsettle,AH N S EH T AH L,AH N S EH T AH L D
0,1.323817253112793,industrialize,IH N D AH S T R IY AH L AY Z,IH N D AH S T R IY AH L AY Z D
0,1.3070244789123535,exemplify,IH G Z EH M P L AH F AY,IH G Z EH M P L AH F AY D
0,1.3018136024475098,unshackle,AH N SH AE K AH L,AH N SH AE K AH L D
0,1.2391319274902344,demobilize,D IH M OW B AH L AY Z,D IH M OW B AH L AY Z D
0,1.2373206615447998,redistribute,R IY D IH S T R IH B Y UW T,R IY D IH S T R IH B Y UW T IH D
0,1.233485460281372,determine,D AH T ER M AH N,D IH T ER M AH N D
0,1.218564748764038,exempt,IH G Z EH M P T,IH G Z EH M P T IH D
0,1.217925786972046,enrapture,EH N R AE P CH ER,EH N R AE P CH ER D
0,1.216566801071167,insinuate,IH N S IH N Y UW EY T,IH N S IH N Y UW EY T IH D
0,1.2103791236877441,misallocate,M IH S AE L AH K EY T,M IH S AE L AH K EY T IH D
0,1.1782901287078857,ensconce,IH N S K AA N S,IH N S K AA N S T
0,1.165987253189087,invite,IH N V AY T,IH N V AY T AH D
0,1.139721155166626,escort,EH S K AO R T,EH S K AO R T IH D
0,1.1264257431030273,disable,D IH S EY B AH L,D IH S EY B AH L D
0,1.1209697723388672,exhibit,IH G Z IH B IH T,IH G Z IH B AH T AH D
0,1.0842161178588867,substitute,S AH B S T AH T UW T,S AH B S T AH T UW T IH D
0,1.0731618404388428,fluctuate,F L AH K CH AH W EY T,F L AH K CH AH W EY T IH D
0,1.0477077960968018,inactivate,IH N AE K T IH V EY T,IH N AE K T IH V EY T IH D
0,1.0474116802215576,obligate,AA B L AH G EY T,AA B L AH G EY T IH D
0,1.0426156520843506,persevere,P ER S AH V IH R,P ER S AH V IH R D
0,1.0147027969360352,inscribe,IH N S K R AY B,IH N S K R AY B D
0,0.9846736788749695,disseminate,D IH S EH M AH N EY T,D IH S EH M AH N EY T AH D
0,0.9693848490715027,disassociate,D IH S AH S OW SH IY EY T,D IH S AH S OW SH IY EY T AH D
0,0.9668390154838562,etch,EH CH,EH CH T
0,0.9633638262748718,petition,P AH T IH SH AH N,P AH T IH SH AH N D
0,0.9498419165611267,preempt,P R IY EH M P T,P R IY EH M P T IH D
0,0.9149417281150818,invert,IH N V ER T,IH N V ER T IH D
0,0.9143168330192566,entail,EH N T EY L,IH N T EY L D
0,0.8963362574577332,untie,AH N T AY,AH N T AY D
0,0.8795143961906433,emboss,IH M B AO S,IH M B AO S T
0,0.8352667689323425,incise,IH N S AY Z,IH N S AY Z D
0,0.8088864684104919,entitle,EH N T AY T AH L,EH N T AY T AH L D
0,0.7894626259803772,enrage,EH N R EY JH,EH N R EY JH D
0,0.7885436415672302,enter,EH N T ER,EH N T ER D
0,0.7712722420692444,enmesh,EH N M EH SH,EH N M EH SH T
0,0.745724618434906,encompass,EH N K AH M P AH S,EH N K AH M P AH S T
0,0.7387129664421082,procure,P R OW K Y UH R,P R OW K Y UH R D
0,0.7384039759635925,extricate,EH K S T R AH K EY T,EH K S T R AH K EY T IH D
0,0.7194295525550842,embed,IH M B EH D,EH M B EH D IH D
0,0.7194295525550842,imbed,IH M B EH D,IH M B EH D IH D
0,0.7162792086601257,inlet,IH N L EH T,IH N L EH T
0,0.6952219605445862,ensue,IH N S UW,IH N S UW D
0,0.6939348578453064,activate,AE K T AH V EY T,AE K T AH V EY T IH D
0,0.6801013350486755,upset,AH P S EH T,AH P S EH T
0,0.6440272927284241,beset,B IH S EH T,B IH S EH T
0,0.628200352191925,blast,B L AE S T,B L AE S T AH D
0,0.60286945104599,exile,EH G Z AY L,EH G Z AY L D
0,0.5895978808403015,evoke,IH V OW K,IH V OW K T
0,0.5739278197288513,highlight,HH AY L AY T,HH AY L AY T IH D
0,0.5735052227973938,induce,IH N D UW S,IH N D UW S T
0,0.5639298558235168,indicate,IH N D AH K EY T,IH N D AH K EY T AH D
0,0.5428939461708069,interfere,IH N T ER F IH R,IH N T ER F IH R D
0,0.5421162247657776,erase,IH R EY S,IH R EY S T
0,0.5353308320045471,appraise,AH P R EY Z,AH P R EY Z D
0,0.5320343375205994,blunt,B L AH N T,B L AH N T AH D
0,0.5169426798820496,encase,EH N K EY S,EH N K EY S T
0,0.5112107396125793,enthuse,IH N TH UW Z,IH N TH UW Z D
0,0.5036346316337585,unsell,AH N S EH L,AH N S OW L D
0,0.4977957606315613,bluff,B L AH F,B L AH F T
0,0.49701279401779175,waste,W EY S T,W EY S T IH D
0,0.4484865069389343,enrich,EH N R IH CH,EH N R IH CH T
0,0.4412066340446472,answer,AE N S ER,AE N S ER D
0,0.4385741353034973,acquit,AH K W IH T,AH K W IH T IH D
0,0.41853636503219604,ebb,EH B,EH B AH D
0,0.41372448205947876,outset,AW T S EH T,AW T S EH T
0,0.4074193835258484,endear,EH N D IY R,EH N D IY R D
0,0.392294704914093,plait,P L EY T,P L EY T IH D
0,0.392294704914093,plate,P L EY T,P L EY T IH D
0,0.38082069158554077,edge,EH JH,EH JH D
0,0.34990566968917847,bias,B AY AH S,B AY AH S T
0,0.34775131940841675,whistle,W IH S AH L,W IH S AH L D
0,0.3438337445259094,block,B L AA K,B L AA K T
0,0.3258625864982605,trail,T R EY L,T R EY L D
0,0.32485121488571167,apply,AH P L AY,AH P L AY D
0,0.3242730498313904,update,AH P D EY T,AH P D EY T IH D
0,0.3232577443122864,dibble,D IH B AH L,D IH B AH L D
0,0.30480819940567017,bless,B L EH S,B L EH S T
0,0.29362350702285767,inter,IH N T ER,IH N T ER D
0,0.26874107122421265,entice,IH N T AY S,IH N T AY S T
0,0.20802003145217896,echo,EH K OW,EH K OW D
0,0.2077142596244812,posit,P AA Z AH T,P AA Z AH T IH D
0,0.17660117149353027,incur,IH N K ER,IH N K ER D
1,3.629502296447754,ramble,R AE M B AH L,R AE M B AH L D
1,3.5781359672546387,prattle,P R AE T AH L,P R AE T AH L D
1,3.5507473945617676,sample,S AE M P AH L,S AE M P AH L D
1,3.5252528190612793,swivel,S W IH V AH L,S W IH V AH L D
1,3.5030884742736816,crackle,K R AE K AH L,K R AE K AH L D
1,3.4427876472473145,rumble,R AH M B AH L,R AH M B AH L D
1,3.3669209480285645,kindle,K IH N D AH L,K IH N D AH L D
1,3.3198461532592773,treble,T R EH B AH L,T R EH B AH L D
1,3.3159685134887695,humble,HH AH M B AH L,HH AH M B AH L D
1,3.2996511459350586,mumble,M AH M B AH L,M AH M B AH L D
1,3.2876830101013184,rumple,R AH M P AH L,R AH M P AH L D
1,3.272075653076172,grapple,G R AE P AH L,G R AE P AH L D
1,3.249784469604492,bridle,B R AY D AH L,B R AY D AH L D
1,3.2369632720947266,tumble,T AH M B AH L,T AH M B AH L D
1,3.22444486618042,fumble,F AH M B AH L,F AH M B AH L D
1,3.2209224700927734,handle,HH AE N D AH L,HH AE N D AH L D
1,3.218900203704834,scuttle,S K AH T AH L,S K AH T AH L D
1,3.2170286178588867,cancel,K AE N S AH L,K AE N S AH L D
1,3.216796398162842,chortle,CH AO R T AH L,CH AO R T AH L D
1,3.2089757919311523,cripple,K R IH P AH L,K R IH P AH L D
1,3.186901569366455,spiral,S P AY R AH L,S P AY R AH L D
1,3.1721606254577637,scuffle,S K AH F AH L,S K AH F AH L D
1,3.16953182220459,signal,S IH G N AH L,S IH G N AH L D
1,3.1530513763427734,travel,T R AE V AH L,T R AE V AH L D
1,3.140150547027588,dribble,D R IH B AH L,D R IH B AH L D
1,3.1247901916503906,triple,T R IH P AH L,T R IH P AH L D
1,3.116703510284424,stifle,S T AY F AH L,S T AY F AH L D
1,3.1158556938171387,frazzle,F R AE Z AH L,F R AE Z AH L D
1,3.0950522422790527,parcel,P AA R S AH L,P AA R S AH L D
1,3.0936999320983887,wrangle,R AE NG G AH L,R AE NG G AH L D
1,3.059417247772217,trickle,T R IH K AH L,T R IH K AH L D
1,3.036135673522949,frizzle,F R IH Z AH L,F R IH Z AH L D
1,3.0353875160217285,gamble,G AE M B AH L,G AE M B AH L D
1,3.021427631378174,freckle,F R EH K AH L,F R EH K AH L D
1,2.969496250152588,speckle,S P EH K AH L,S P EH K AH L D
1,2.969459056854248,trouble,T R AH B AH L,T R AH B AH L D
1,2.8984203338623047,fondle,F AO N D AH L,F AO N D AH L D
1,2.894049644470215,bristle,B R IH S AH L,B R IH S AH L D
1,2.8846335411071777,populate,P AA P Y AH L EY T,P AA P Y AH L EY T IH D
1,2.8757519721984863,throttle,TH R AA T AH L,TH R AA T AH L D
1,2.8717780113220215,grizzle,G R IH Z AH L,G R IH Z AH L D
1,2.8674888610839844,popularize,P AA P Y AH L ER AY Z,P AA P Y AH L ER AY Z D
1,2.847482681274414,bundle,B AH N D AH L,B AH N D AH L D
1,2.8186864852905273,single,S IH NG G AH L,S IH NG G AH L D
1,2.80556058883667,wrinkle,R IH NG K AH L,R IH NG K AH L D
1,2.7701196670532227,snuggle,S N AH G AH L,S N AH G AH L D
1,2.756345272064209,simulate,S IH M Y AH L AH T,S IH M Y AH L EY T IH D
1,2.7548437118530273,dimple,D IH M P AH L,D IH M P AH L D
1,2.7397513389587402,staple,S T EY P AH L,S T EY P AH L D
1,2.6980648040771484,crenelate,K R EH N AH L EY T,K R EH N AH L EY T AH D
1,2.663278102874756,dangle,D AE NG G AH L,D AE NG G AH L D
1,2.6499595642089844,tinkle,T IH NG K AH L,T IH NG K AH L D
1,2.6479153633117676,overrule,OW V ER R UW L,OW V ER R UW L D
1,2.645524024963379,postulate,P AA S CH AH L EY T,P AA S CH AH L EY T IH D
1,2.632768154144287,flannel,F L AE N AH L,F L AE N AH L D
1,2.5929718017578125,liberalize,L IH B ER AH L AY Z,L IH B ER AH L AY Z D
1,2.586359977722168,restyle,R IY S T AY L,R IY S T AY L D
1,2.586111068725586,presplit,P R IY S P L IH T,P R IY S P L IH T
1,2.57474422454834,jumble,JH AH M B AH L,JH AH M B AH L D
1,2.568155288696289,garble,G AA R B AH L,G AA R B AH L D
1,2.564046859741211,ennoble,IH N OW B AH L,IH N OW B AH L D
1,2.550297260284424,profile,P R OW F AY L,P R OW F AY L D
1,2.5397586822509766,rankle,R AE NG K AH L,R AE NG K AH L D
1,2.5095295906066895,patrol,P AH T R OW L,P AH T R OW L D
1,2.508761405944824,brutalize,B R UW T AH L AY Z,B R UW T AH L AY Z D
1,2.4897732734680176,enamel,IH N AE M AH L,IH N AE M AH L D
1,2.4893550872802734,corbel,K AO R B AH L,K AO R B AH L D
1,2.481428623199463,overhaul,OW V ER HH AO L,OW V ER HH AO L D
1,2.3831605911254883,vandalize,V AE N D AH L AY Z,V AE N D AH L AY Z D
1,2.368460178375244,withhold,W IH TH HH OW L D,W IH TH HH EH L D
1,2.3430700302124023,expel,IH K S P EH L,IH K S P EH L D
1,2.3343982696533203,simulcast,S AY M Y AH L K AE S T,S AY M Y AH L K AE S T
1,2.30643367767334,compile,K AH M P AY L,K AH M P AY L D
1,2.303563117980957,tangle,T AE NG G AH L,T AE NG G AH L D
1,2.3007149696350098,sterilize,S T EH R AH L AY Z,S T EH R AH L AY Z D
1,2.2779288291931152,naturalize,N AE CH ER AH L AY Z,N AE CH ER AH L AY Z D
1,2.266313076019287,tantalize,T AE N T AH L AY Z,T AE N T AH L AY Z D
1,2.2579727172851562,tabulate,T AE B Y AH L EY T,T AE B Y AH L EY T IH D
1,2.2476119995117188,reanalyze,R IY AE N AH L AY Z,R IY AE N AH L AY Z D
1,2.2422542572021484,foretell,F AO R T EH L,F AO R T OW L D
1,2.24198579788208,oversell,OW V ER S EH L,OW V ER S OW L D
1,2.2371044158935547,compel,K AH M P EH L,K AH M P EH L D
1,2.211001396179199,exhale,EH K S HH EY L,EH K S HH EY L D
1,2.2064924240112305,wangle,W AE NG G AH L,W AE NG G AH L D
1,2.2022762298583984,mingle,M IH NG G AH L,M IH NG G AH L D
1,2.2014079093933105,ventilate,V EH N T AH L EY T,V EH N T AH L EY T IH D
1,2.178575038909912,fangle,F AE NG G AH L,F AE NG G AH L D
1,2.173872470855713,console,K AA N S OW L,K AH N S OW L D
1,2.1570777893066406,dovetail,D AH V T EY L,D AH V T EY L D
1,2.1471471786499023,specialize,S P EH SH AH L AY Z,S P EH SH AH L AY Z D
1,2.1337575912475586,symbolize,S IH M B AH L AY Z,S IH M B AH L AY Z D
1,2.12772274017334,marble,M AA R B AH L,M AA R B AH L D
1,2.098236560821533,mothball,M AO TH B AO L,M AO TH B AO L D
1,2.087714672088623,extol,IH K S T OW L,IH K S T OW L D
1,2.0848565101623535,visualize,V IH ZH W AH L AY Z,V IH ZH W AH L AY Z D
1,2.0704193115234375,marvel,M AA R V AH L,M AA R V EH L D
1,2.0589652061462402,distil,D IH S T IH L,D IH S T IH L D
1,2.0363283157348633,propel,P R AH P EH L,P R AH P EH L D
1,2.0260677337646484,initial,IH N IH SH AH L,IH N IH SH AH L D
