latent_id,activation,lemma,present_phones,past_phones
0,4.964130878448486,creolize,K R IY OW L AY Z,K R IY OW L AY Z D
0,3.7800753116607666,remodel,R IY M AA D AH L,R IY M AA D AH L D
0,3.57423996925354,recycle,R IY S AY K AH L,R IY S AY K AH L D
0,3.5151875019073486,digitize,D IH JH AH T AY Z,D IH JH AH T AY Z D
0,3.4178335666656494,optimize,AA P T AH M AY Z,AA P T AH M AY Z D
0,3.4025895595550537,idealize,AY D IY L AY Z,AY D IY AH L AY Z D
0,3.090662956237793,piggyback,P IH G IY B AE K,P IH G IY B AE K T
0,3.069073438644409,demonize,D IY M AH N AY Z,D IY M AH N AY Z D
0,2.915393590927124,inscribe,IH N S K R AY B,IH N S K R AY B D
0,2.843066930770874,identify,AY D EH N T AH F AY,AY D EH N T AH F AY D
0,2.8279917240142822,ironize,AY ER N AY Z,AY ER N AY Z D
0,2.8070967197418213,displease,D IH S P L IY Z,D IH S P L IY Z D
0,2.8028910160064697,organize,AO R G AH N AY Z,AO R G AH N AY Z D
0,2.773599147796631,recharge,R IY CH AA R JH,R IY CH AA R JH D
0,2.672409772872925,nickname,N IH K N EY M,N IH K N EY M D
0,2.658919334411621,coincide,K OW IH N S AY D,K OW AH N S AY D AH D
0,2.6004245281219482,describe,D IH S K R AY B,D IH S K R AY B D
0,2.449298858642578,befuddle,B IH F AH D AH L,B IH F AH D AH L D
0,2.4056808948516846,simplify,S IH M P L AH F AY,S IH M P L AH F AY D
0,2.271470308303833,legalize,L IY G AH L AY Z,L IY G AH L AY Z D
0,2.2656047344207764,engineer,EH N JH AH N IH R,EH N JH AH N IY R D
0,2.1484792232513428,complicate,K AA M P L AH K EY T,K AA M P L AH K EY T AH D
0,2.1238853931427,offset,AO F S EH T,AO F S EH T
0,2.0724706649780273,comprise,K AH M P R AY Z,K AH M P R AY Z D
0,2.044452428817749,needle,N IY D AH L,N IY D AH L D
0,2.038327693939209,negate,N IH G EY T,N IY G EY T IH D
0,2.0168612003326416,idolize,AY D AH L AY Z,AY D AH L AY Z D
0,1.9955222606658936,transfer,T R AE N S F ER,T R AE N S F ER D
0,1.9750628471374512,burglarize,B ER G L ER AY Z,B ER G L ER AY Z D
0,1.972541093826294,zigzag,Z IH G Z AE G,Z IH G Z AE G D
0,1.9723761081695557,leapfrog,L IY P F R AO G,L IY P F R AO G D
0,1.955920934677124,oxidize,AA K S AH D AY Z,AA K S AH D AY Z D
0,1.9395954608917236,demolish,D IH M AA L IH SH,D IH M AA L IH SH T
0,1.8147125244140625,idle,AY D AH L,AY D AH L D
0,1.7743268013000488,recapture,R IY K AE P CH ER,R IY K AE P CH ER D
0,1.7624948024749756,entitle,EH N T AY T AH L,EH N T AY T AH L D
0,1.7366926670074463,question,K W EH S CH AH N,K W EH S CH AH N D
0,1.7102391719818115,curtail,K ER T EY L,K ER T EY L D
0,1.6732151508331299,deteriorate,D IH T IH R IY ER EY T,D IH T IH R IY ER EY T IH D
0,1.6549828052520752,equalize,IY K W AH L AY Z,IY K W AH L AY Z D
0,1.6394305229187012,waterlog,W AO T ER L AA G,W AO T ER L AA G D
0,1.5997908115386963,defy,D IH F AY,D IH F AY D
0,1.57346510887146,resurface,R IY S ER F AH S,R IY S ER F AH S T
0,1.5632026195526123,grandfather,G R AE N D F AA DH ER,G R AE N D F AA DH ER D
0,1.5532054901123047,comply,K AH M P L AY,K AH M P L AY D
0,1.5284192562103271,remanufacture,R IY M AE N Y UW F AE K CH ER,R IY M AE N Y UW F AE K CH ER D
0,1.5152990818023682,recertify,R IY S ER T AH F AY,R IY S ER T IH F AY D
0,1.485701322555542,jimmy,JH IH M IY,JH IH M IY D
0,1.4671566486358643,fertilize,F ER T AH L AY Z,F ER T AH L AY Z D
0,1.4165914058685303,befall,B IH F AO L,B IH F EH L
0,1.3988597393035889,interlock,IH N T ER L AA K,IH N T ER L AA K T
0,1.3623788356781006,beguile,B IH G AY L,B IH G AY L D
0,1.3254303932189941,misprice,M IH S P R AY S,M IH S P R AY S T
0,1.3108551502227783,resettle,R IY S EH T AH L,R IY S EH T AH L D
0,1.1758198738098145,necessitate,N AH S EH S AH T EY T,N AH S EH S AH T EY T AH D
0,1.144578218460083,utilize,Y UW T AH L AY Z,Y UW T AH L AY Z D
0,1.1234800815582275,forget,F ER G EH T,F ER G AA T
0,1.11152982711792,unsettle,AH N S EH T AH L,AH N S EH T AH L D
0,1.0565645694732666,caress,K ER EH S,K ER EH S T
0,1.00996732711792,indenture,IH N D EH N CH ER,IH N D EH N CH ER D
0,0.9806450009346008,reshuffle,R IY SH AH F AH L,R IY SH AH F AH L D
0,0.9794628024101257,exercise,EH K S ER S AY Z,EH K S ER S AY Z D
0,0.9155771136283875,authorize,AO TH ER AY Z,AO TH ER AY Z D
0,0.9082635045051575,seesaw,S IY S AO,S IY S AO D
0,0.88055819272995,entwine,EH N T W AY N,EH N T W AY N D
0,0.8550780415534973,bogey,B OW G IY,B OW G IY D
0,0.8292728066444397,outguess,AW T G EH S,AW T G EH S T
0,0.7989242672920227,name,N EY M,N EY M D
0,0.755498468875885,wiggle,W IH G AH L,W IH G AH L D
0,0.6108147501945496,frank,F R AE NG K,F R AE NG K T
1,2.9372940063476562,desert,D EH Z ER T,D IH Z ER T IH D
1,2.9342074394226074,overstock,OW V ER S T AA K,OW V ER S T AA K T
1,2.8560471534729004,photocopy,F OW T OW K AA P IY,F OW T OW K AA P IY D
1,2.418205738067627,photoshop,F OW T OW SH AA P,F OW T OW SH AA P T
1,2.2459306716918945,litigate,L IH T IH G EY T,L IH T IH G EY T IH D
1,2.062239646911621,winnow,W IH N OW,W IH N OW D
1,1.951090693473816,immortalize,IH M AO R T AH L AY Z,IH M AO R T AH L AY Z D
1,1.8110297918319702,wince,W IH N S,W IH N S T
1,1.7269083261489868,fledge,F L EH JH,F L EH JH D
1,1.6830428838729858,whipsaw,W IH P S AO,W IH P S AO D
1,1.6227270364761353,wallow,W AA L OW,W AA L OW D
1,1.5345642566680908,stalemate,S T EY L M EY T,S T EY L M EY T IH D
1,1.4588042497634888,widow,W IH D OW,W IH D OW D
1,1.2749180793762207,interrupt,IH N T ER AH P T,IH N T ER AH P T IH D
1,1.2357425689697266,imprint,IH M P R IH N T,IH M P R IH N T IH D
1,1.2223718166351318,sling,S L IH NG,S L AH NG
1,1.1896404027938843,winge,W IH N JH,W IH NG D
1,1.1666759252548218,outvote,AW T V OW T,AW T V OW T IH D
1,1.1404399871826172,intoxicate,IH N T AA K S AH K EY T,IH N T AA K S AH K EY T IH D
1,1.0964912176132202,levitate,L EH V IH T EY T,L EH V IH T EY T IH D
1,1.0741816759109497,wow,W AW,W AW D
1,1.0721840858459473,interlace,IH N T ER L EY S,IH N T ER L EY S T
1,1.0515706539154053,sting,S T IH NG,S T AH NG
1,1.0122007131576538,fold,F OW L D,F OW L D AH D
1,0.9970688819885254,wink,W IH NG K,W IH NG K T
1,0.9969393014907837,woo,W UW,W UW D
1,0.8065835237503052,drive,D R AY V,D R OW V
1,0.7933703660964966,pledge,P L EH JH,P L EH JH D
1,0.6980750560760498,flare,F L EH R,F L EH R D
1,0.6538727283477783,follow,F AA L OW,F AA L OW D
1,0.5531659126281738,whip,W IH P,W IH P T
1,0.4731711149215698,bicker,B IH K ER,B IH K ER D
2,4.198984146118164,deposit,D AH P AA Z IH T,D AH P AA Z IH T IH D
2,4.116535186767578,tarnish,T AA R N IH SH,T AA R N IH SH T
2,3.5678699016571045,dismantle,D IH S M AE N T AH L,D IH S M AE N T AH L D
2,3.294017791748047,overthrow,OW V ER TH R OW,OW V ER TH R UW
2,3.244476318359375,transmit,T R AE N Z M IH T,T R AE N S M IH T IH D
