latent_id,activation,lemma,present_phones,past_phones
0,2.862678050994873,fabricate,F AE B R AH K EY T,F AE B R IH K EY T AH D
0,2.5719332695007324,relinquish,R IH L IH NG K W IH SH,R IH L IH NG K W IH SH T
0,2.4985909461975098,embellish,IH M B EH L IH SH,EH M B EH L IH SH T
0,2.1187891960144043,palpitate,P AE L P AH T EY T,P AE L P AH T EY T IH D
0,1.9511117935180664,forest,F AO R AH S T,F AO R AH S T AH D
0,1.8721013069152832,embarrass,IH M B EH R AH S,IH M B EH R AH S T
0,1.772512435913086,function,F AH NG K SH AH N,F AH NG K SH AH N D
0,1.7329654693603516,nauseate,N AO Z IY EY T,N AO Z IY EY T AH D
0,1.6413776874542236,forsake,F AO R S EY K,F AO R S UH K
0,1.445939064025879,furbish,F ER B IH SH,F ER B IH SH T
0,1.389350414276123,hallucinate,HH AH L UW S AH N EY T,HH AH L UW S AH N EY T IH D
0,1.314932107925415,imbue,IH M B Y UW,IH M B Y UW D
0,1.307274341583252,rebuke,R IY B Y UW K,R IH B Y UW K T
0,1.2764756679534912,amputate,AE M P Y AH T EY T,AE M P Y AH T EY T IH D
0,1.2478060722351074,landscape,L AE N D S K EY P,L AE N D S K EY P T
0,1.2103557586669922,emboss,IH M B AO S,IH M B AO S T
0,1.1573634147644043,embezzle,IH M B EH Z AH L,IH M B EH Z AH L D
0,1.1349689960479736,misspend,M IH S S P EH N D,M IH S S P EH N T
0,1.1129372119903564,rearrest,R IY ER EH S T,R IY ER EH S T IH D
0,1.0998330116271973,captivate,K AE P T IH V EY T,K AE P T IH V EY T IH D
0,1.0501179695129395,embed,IH M B EH D,EH M B EH D IH D
0,1.0501179695129395,imbed,IH M B EH D,IH M B EH D IH D
0,1.0000650882720947,digest,D AY JH EH S T,D AY JH EH S T IH D
0,0.9495081305503845,perpetuate,P ER P EH CH AH W EY T,P ER P EH CH AH W EY T IH D
0,0.8580637574195862,retest,R IY T EH S T,R IY T EH S T IH D
0,0.8292612433433533,impute,IH M P Y UW T,IH M P Y UW T IH D
0,0.8182322382926941,investigate,IH N V EH S T AH G EY T,IH N V EH S T AH G EY T AH D
0,0.8019232153892517,resort,R IH Z AO R T,R IH Z AO R T IH D
0,0.7721442580223083,redistribute,R IY D IH S T R IH B Y UW T,R IY D IH S T R IH B Y UW T IH D
0,0.7669578194618225,possess,P AH Z EH S,P AH Z EH S T
0,0.7406157851219177,implement,IH M P L AH M AH N T,IH M P L AH M EH N T AH D
0,0.7299626469612122,exhaust,IH G Z AO S T,IH G Z AO S T IH D
0,0.7096146941184998,mediate,M IY D IY EY T,M IY D IY EY T IH D
0,0.6995047926902771,reinstate,R IY IH N S T EY T,R IY IH N S T EY T IH D
0,0.673801839351654,position,P AH Z IH SH AH N,P AH Z IH SH AH N D
0,0.5519376993179321,reinstitute,R IY IH N S T IH T UW T,R IY IH N S T IH T UW T IH D
0,0.5427149534225464,embody,IH M B AA D IY,IH M B AA D IY D
0,0.5152941346168518,formulate,F AO R M Y AH L EY T,F AO R M Y AH L EY T AH D
0,0.4947907328605652,cultivate,K AH L T AH V EY T,K AH L T AH V EY T IH D
0,0.47667986154556274,hypnotize,HH IH P N AH T AY Z,HH IH P N AH T AY Z D
0,0.4683196544647217,aim,EY M,EY M D
0,0.4447243809700012,remark,R IH M AA R K,R IH M AA R K T
0,0.3650512099266052,publicize,P AH B L IH S AY Z,P AH B L IH S AY Z D
0,0.336123526096344,reject,R IH JH EH K T,R IH JH EH K T IH D
0,0.28848332166671753,paw,P AO,P AO D
