activation,lemma,present_phones,past_phones
1.1193560361862183,prejudice,P R EH JH AH D IH S,P R EH JH AH D AH S T
0.9040082097053528,marginalize,M AA R JH AH N AH L AY Z,M AA R JH AH N AH L AY Z D
0.7645585536956787,prejudge,P R IY JH AH JH,P R IY JH AH JH D
0.7360445261001587,margin,M AA R JH AH N,M AA R JH AH N D
0.7259542942047119,imagine,IH M AE JH AH N,IH M AE JH AH N D
0.7244887351989746,misjudge,M IH S JH AH JH,M IH S JH AH JH D
0.6886612176895142,dredge,D R EH JH,D R EH JH D
0.6867259740829468,bludgeon,B L AH JH AH N,B L AH JH AH N D
0.6710156202316284,pledge,P L EH JH,P L EH JH D
0.6699023842811584,allege,AH L EH JH,AH L EH JH D
0.6623802185058594,adjudge,AH JH AH JH,AH JH AH JH D
0.6601558923721313,energize,EH N ER JH AY Z,EH N ER JH AY Z D
0.6535545587539673,smudge,S M AH JH,S M AH JH D
0.652813196182251,fledge,F L EH JH,F L EH JH D
0.6462522745132446,trudge,T R AH JH,T R AH JH D
0.6447809934616089,longe,L AA N JH,L AO NG D
0.6404592394828796,scourge,S K ER JH,S K ER JH D
0.6386775374412537,singe,S IH N JH,S IH N JH D
0.6278601884841919,charge,CH AA R JH,CH AA R JH D
0.6265871524810791,winge,W IH N JH,W IH NG D
0.6240975856781006,forge,F AO R JH,F AO R JH D
0.6236095428466797,emerge,IH M ER JH,IH M ER JH D
0.6209419965744019,schedule,S K EH JH UH L,S K EH JH UH L D
0.6203893423080444,stage,S T EY JH,S T EY JH D
0.6137992143630981,hinge,HH IH N JH,HH IH N JH D
0.6135905981063843,subjugate,S AH B JH AH G EY T,S AH B JH AH G EY T IH D
0.6118656992912292,tinge,T IH N JH,T IH NG D
0.6106451153755188,bridge,B R IH JH,B R IH JH D
0.6086804270744324,barge,B AA R JH,B AA R JH D
0.604137659072876,graduate,G R AE JH AH W AH T,G R AE JH UW EY T IH D
0.6008544564247131,lunge,L AH N JH,L AH N JH D
0.6000930070877075,change,CH EY N JH,CH EY N JH D
0.5996756553649902,binge,B IH N JH,B IH N JH D
0.5976710319519043,subject,S AH B JH EH K T,S AH B JH EH K T IH D
0.5952016711235046,conjugate,K AA N JH AH G EY T,K AA N JH AH G EY T IH D
0.5893710851669312,bulge,B AH L JH,B AH L JH D
0.5878352522850037,project,P R AA JH EH K T,P R AH JH EH K T AH D
0.5818309783935547,range,R EY N JH,R EY N JH D
0.5804935693740845,voyage,V OY AH JH,V OY AH JH D
0.5604723691940308,plagiarize,P L EY JH ER AY Z,P L EY JH ER AY Z D
0.5479400157928467,conjure,K AA N JH ER,K AA N JH ER D
0.5337868928909302,congest,K AH N JH EH S T,K AH N JH EH S T AH D
0.5099714398384094,arrange,ER EY N JH,ER EY N JH D
0.4979962706565857,flagellate,F L AE JH AH L EY T,F L AE JH AH L EY T AH D
0.17518959939479828,override,OW V ER R AY D,OW V ER R OW D
0.1689388006925583,misguide,M IH S G AY D,M IH S G AY D IH D
0.15834951400756836,provide,P R AH V AY D,P R AH V AY D IH D
0.1456819623708725,parody,P EH R AH D IY,P EH R AH D IY D
0.14138738811016083,mortgage,M AO R G AH JH,M AO R G IH JH D
0.09973183274269104,spell,S P EH L,S P EH L D
0.09130780398845673,polish,P AA L IH SH,P AA L IH SH T
0.08411988615989685,waft,W AA F T,W AA F T IH D
0.0806053876876831,swell,S W EH L,S W EH L D
0.07974930107593536,sweat,S W EH T,S W EH T IH D
0.07954956591129303,fret,F R EH T,F R EH T IH D
0.05793445184826851,pout,P AW T,P AW T IH D
0.04931815341114998,pot,P AA T,P AA T IH D
